site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
sidrolândia,2015-2016,00-20,5.26,5.86,36.62,31.28,52.88,0.34,4.95,1.6,0,7.1,6.89,13.99,49.25,19.29,4.56,0.44,10.75,95.75,28.72,3.09,2.43,35.38,11.44,50.75,0,47
sidrolândia,2015-2016,20-40,5.04,5.65,28.12,1.4,52.88,0.1,2.75,1.1,0,6.15,3.95,10.1,39.11,48.38,3.4,0.29,10.75,45.24,19.2,2.5,0.99,27.23,10.89,60.89,0,64
bonito,2015-2016,00-20,5.3,6,26,19,52.88,2.8,4.6,24,0.05,4.13,7.53,11.66,64.58,6.62,2.29,0.39,1.17,89.52,35.84,4.1,1.11,51.03,12.44,34.99,0.66,31
bonito,2015-2016,20-40,5.6,6.2,18,4,52.88,0.9,4.7,1.2,0,2.82,6.8,9.62,70.69,7.81,1.52,0.3,0.87,52.35,41.95,4.63,0.52,57.69,12.47,29.31,0,35
sãogabrieldooeste,2015-2016,00-20,5.1,5.71,28.69,12.95,52.88,0.11,2.9,1,0,4.49,4.01,8.5,47.18,11.09,7.75,0.36,5.39,70.94,33.47,2.9,1.29,34.12,11.76,52.82,0,38
sãogabrieldooeste,2015-2016,20-40,4.63,5.25,20.33,1.14,52.88,0.06,1.15,0.6,0.14,4.49,1.81,6.3,28.73,31.39,1.25,0.34,3.43,17.9,41.95,1.92,0.95,18.25,9.52,69.05,7.18,48
sãogabrieldooeste,2016-2017,00-20,6.1,6.3,2,15.8,32.76,0.17,5.3,2.27,0.13,2.2,7.74,9.9,78.5,1.7,6.6,0.51,1.9,12.3,13,2.3,1.1,57.69,18.67,23.04,0,55
sãogabrieldooeste,2016-2017,20-40,5.6,6.3,23,2.7,52.88,0.15,3.16,1.43,0.07,2.6,4.74,7.3,64.9,8.7,1.1,0.6,1.8,4.6,23,2.2,0.99,43.6,18.9,36,4.7,55
maracaju,2016-2017,00-20,5.6,6.1,35,13,52.88,0.61,6.1,1.8,0.1,3.1,8.6,11.6,74,5,0.19,0.19,1.69,8.19,9.47,3.33,5.22,52.58,15.78,29.31,0,57.7
maracaju,2016-2017,20-40,4.7,5.1,20,2,11.67,0.22,3.1,1.1,0.4,4.7,4.5,9.1,49,48.38,6.6,0.19,8.25,45.24,67.7,2.82,2.44,34.28,12.17,40,0,64
riobrilhante,2016-2017,00-20,5.3,6,37,30,52.88,0.36,0.6,1.8,0,3.4,8.1,11.6,70,10,1.9,0.33,7.3,23,34,3.3,0.7,43.6,18.97,0,0,56.4
riobrilhante,2016-2017,20-40,5.6,6.3,29,15,52.88,0.49,0.96,1.7,0,3.1,11.8,14.9,79,8,1.8,0.55,8.9,26.7,17,5.6,0.52,50,18.7,23.04,0,55.1
douradossiloscopasul,2016-2017,00-20,4.5,5.3,34,20,52.88,0.28,4.8,1.2,0.3,5.6,6.3,11.9,53,9,3.6,0.35,7.6,61.8,24,4,3.8,41,8.15,43.27,0,62.2
douradossiloscopasul,2016-2017,20-40,5.1,5.8,21,3,52.88,0.12,5,1.2,0,3.5,6.4,9.9,64,28,1.1,0.33,7.3,30.2,36,4,0.99,52.58,9.14,30.48,0,60
amambaí,2016-2017,00-20,5.7,6.3,45,41,32.76,0.62,10.3,2,0,3.1,13,16.1,81,5,2.5,0.32,8.2,27.4,20,5,6.1,55.26,18.57,29.31,18.46,45.2
amambaí,2016-2017,20-40,5.7,6.3,26,10,52.88,0.18,4.6,1.5,0,3,6.4,9.3,68,32,0.7,0.13,5.8,11.1,18,3,1.7,48.91,15.78,35.85,0,43.1
naviraí,2016-2017,00-20,4.9,5.6,17,19,5,0.12,1.8,0.6,0,3,2.5,5.5,45,4,1.5,0.29,0.8,35,25,3,5.6,22.61,15.78,52.65,5.96,11.9
naviraí,2016-2017,20-40,4.5,5.3,13,9,9.25,0.09,1.2,0.5,0.3,3.4,1.87,5.1,34,10,0.6,0.44,0.8,22.7,45,2,5.6,16.71,11.14,52.65,13.37,14.7
caarapó,2016-2017,00-20,5.24,6,39.43,7.57,3.8,0.57,6.66,1.23,0,5.2,8.46,13.66,61.9,7.16,6.61,0.28,18.52,123.2,26.7,5.41,5.77,47.19,8.7,39,4.5,70
caarapó,2016-2017,20-40,5.7,6.2,24.03,11.8,52.88,0.12,4,0.9,0,4.5,8.45,13.2,60.72,4.9,1.4,0.3,9.16,44.8,20.7,2.5,0.7,41.6,15.78,27.7,0,35
dourados,2016-2017,00-20,5.8,6.4,30,14,52.88,0.25,5.2,2.3,0,2.8,7.8,10.6,73,37,1.8,0.21,10,42,22,2.3,1.16,55.3,15.78,27.7,0,67
