id,material,harvest,site,productivity,species
248,cd 219 rr,2008,sonora,43.8,soy
249,fundacep 59 rr,2008,sonora,43.6,soy
250,cd 234 rr,2008,sonora,42.6,soy
251,fps netuno rr,2008,sonora,41.4,soy
252,cd 242 rr,2008,sonora,39.7,soy
253,brasmax potência rr,2008,sonora,39.4,soy
254,brsmg 850 rr,2008,sonora,36.9,soy
255,brs pampa rr,2008,sonora,24.7,soy
256,cd 244 rr,2008,sonora,15.8,soy
257,brs 282,2009,antônio joão,70.7,soy
258,brs 239,2009,antônio joão,70.5,soy
259,brasmax turbo rr,2009,antônio joão,69.7,soy
260,syn 9070 rr,2009,antônio joão,69.4,soy
261,brs 245 rr,2009,antônio joão,68.5,soy
262,syn 9074 rr,2009,antônio joão,68.4,soy
263,brs 232,2009,antônio joão,67.4,soy
264,brs 246 rr,2009,antônio joão,67.3,soy
265,fps júpiter rr,2009,antônio joão,67.2,soy
266,brasmax potência rr,2009,antônio joão,67.1,soy
267,cd 234 rr,2009,antônio joão,65.3,soy
268,brs 268,2009,antônio joão,64.9,soy
269,vmax rr,2009,antônio joão,63.9,soy
270,m-soy 7908 rr,2009,antônio joão,63.4,soy
271,brs 284,2009,antônio joão,62.6,soy
272,m-soy 7639 rr,2009,antônio joão,62.3,soy
273,cd 221,2009,antônio joão,61.8,soy
274,cd 237 rr,2009,antônio joão,61.5,soy
275,cd 202,2009,antônio joão,61.4,soy
276,fts campo mourão rr,2009,antônio joão,61.2,soy
277,brasmax força rr,2009,antônio joão,60.6,soy
278,5d690 rr,2009,antônio joão,60.6,soy
279,m6707 rr,2009,antônio joão,59.3,soy
280,vmax,2009,antônio joão,58.8,soy
281,5d660 rr,2009,antônio joão,58.8,soy
282,syn 1049 rr,2009,antônio joão,57.6,soy
283,m6009 rr,2009,antônio joão,57.1,soy
284,fts 1156 rr cafelândia,2009,antônio joão,56.8,soy
285,fps netuno rr,2009,antônio joão,56.7,soy
286,cd 219 rr,2009,antônio joão,56.5,soy
287,5d688 rr,2009,antônio joão,56.1,soy
288,brs favorita rr,2009,antônio joão,56.0,soy
289,cd 233 rr,2009,antônio joão,55.8,soy
290,m-soy 8001,2009,antônio joão,54.5,soy
291,syn 3358 rr,2009,antônio joão,54.1,soy
292,cd 231 rr,2009,antônio joão,53.7,soy
293,5d711 rr,2009,antônio joão,49.9,soy
294,cd 225 rr,2009,antônio joão,49.6,soy
295,na 5909 rg,2009,aral moreira,74.8,soy
296,brs 284,2009,aral moreira,74.8,soy
297,brs 239,2009,aral moreira,70.7,soy
298,cd 202,2009,aral moreira,69.7,soy
299,brasmax potência rr,2009,aral moreira,69.0,soy
300,fps netuno rr,2009,aral moreira,68.1,soy
301,brs 232,2009,aral moreira,67.7,soy
302,na 6411 rr,2009,aral moreira,67.6,soy
303,brasmax força rr,2009,aral moreira,67.1,soy
304,na 4990 rr,2009,aral moreira,66.8,soy
305,brs 283,2009,aral moreira,65.7,soy
306,brs 282,2009,aral moreira,65.2,soy
307,brs 246 rr,2009,aral moreira,64.7,soy
308,vmax,2009,aral moreira,63.7,soy
309,cd 225 rr,2009,aral moreira,63.1,soy
310,cd 241 rr,2009,aral moreira,62.8,soy
311,roos avance rr,2009,aral moreira,62.3,soy
312,brs 245 rr,2009,aral moreira,62.1,soy
313,vmax rr,2009,aral moreira,61.1,soy
314,fts campo mourão rr,2009,aral moreira,60.9,soy
315,m-soy 7211 rr,2009,aral moreira,56.7,soy
316,brs favorita rr,2009,aral moreira,55.1,soy
317,m-soy 8001,2009,aral moreira,52.2,soy
318,cd 219 rr,2009,aral moreira,48.3,soy
319,brasmax potência rr,2009,aral moreira,63.2,soy
320,fts campo mourão rr,2009,aral moreira,61.5,soy
321,brs 246 rr,2009,aral moreira,60.0,soy
322,brs 245 rr,2009,aral moreira,60.0,soy
323,na 4990 rr,2009,aral moreira,58.9,soy
324,cd 241 rr,2009,aral moreira,58.6,soy
325,vmax rr,2009,aral moreira,58.3,soy
326,brasmax força rr,2009,aral moreira,57.8,soy
327,roos avance rr,2009,aral moreira,57.7,soy
328,na 5909 rg,2009,aral moreira,57.5,soy
329,brs 239,2009,aral moreira,56.7,soy
330,cd 225 rr,2009,aral moreira,56.2,soy
331,fps netuno rr,2009,aral moreira,55.8,soy
332,m-soy 7211 rr,2009,aral moreira,55.8,soy
333,brs 232,2009,aral moreira,54.7,soy
334,cd 202,2009,aral moreira,54.7,soy
335,brs 282,2009,aral moreira,53.5,soy
336,vmax,2009,aral moreira,53.0,soy
337,brs favorita rr,2009,aral moreira,52.5,soy
338,brs 268,2009,aral moreira,52.2,soy
339,brs 284,2009,aral moreira,48.5,soy
340,cd 219 rr,2009,aral moreira,44.5,soy
341,m-soy 8001,2009,aral moreira,44.0,soy
342,na 6411 rr,2009,aral moreira,43.9,soy
343,brs 284,2009,aral moreira,58.8,soy
344,brs 239,2009,aral moreira,56.0,soy
345,brs 282,2009,aral moreira,56.0,soy
346,fts campo mourão rr,2009,aral moreira,55.8,soy
347,brs charrua rr,2009,aral moreira,54.0,soy
348,brs 245 rr,2009,aral moreira,53.7,soy
349,brs 232,2009,aral moreira,53.1,soy
350,brasmax potência rr,2009,aral moreira,53.0,soy
351,brs 283,2009,aral moreira,52.1,soy
352,brs 246 rr,2009,aral moreira,51.6,soy
353,brasmax força rr,2009,aral moreira,50.9,soy
354,vmax rr,2009,aral moreira,50.5,soy
355,brs favorita rr,2009,aral moreira,48.8,soy
356,cd 202,2009,aral moreira,48.1,soy
357,m-soy 8001,2009,aral moreira,46.0,soy
358,vmax,2009,aral moreira,45.5,soy
359,brs 268,2009,aral moreira,44.2,soy
360,cd 225 rr,2009,aral moreira,43.5,soy
361,cd 219 rr,2009,aral moreira,41.4,soy
362,brs 239,2009,aral moreira,44.4,soy
363,vmax rr,2009,aral moreira,43.7,soy
364,brs 283,2009,aral moreira,40.6,soy
365,brs favorita rr,2009,aral moreira,38.8,soy
366,brs 284,2009,aral moreira,38.0,soy
367,brs 232,2009,aral moreira,35.0,soy
368,vmax,2009,aral moreira,34.4,soy
369,brs 246 rr,2009,aral moreira,34.1,soy
370,brs 282,2009,aral moreira,33.7,soy
371,fts campo mourão rr,2009,aral moreira,31.9,soy
372,cd 202,2009,aral moreira,31.1,soy
373,cd 225 rr,2009,aral moreira,28.1,soy
374,brs charrua rr,2009,aral moreira,27.8,soy
375,brasmax potência rr,2009,aral moreira,26.9,soy
376,brs 245 rr,2009,aral moreira,25.9,soy
377,m-soy 8001,2009,aral moreira,25.3,soy
378,cd 219 rr,2009,aral moreira,22.7,soy
379,roos avance rr,2009,caarapó,75.2,soy
380,brs 284,2009,caarapó,73.7,soy
381,na 4990 rr,2009,caarapó,73.5,soy
382,brasmax potência rr,2009,caarapó,72.8,soy
383,na 5909 rg,2009,caarapó,72.1,soy
384,brs 283,2009,caarapó,70.6,soy
385,fts campo mourão rr,2009,caarapó,69.5,soy
386,brs 245 rr,2009,caarapó,68.6,soy
387,m-soy 8001,2009,caarapó,68.2,soy
388,vmax,2009,caarapó,67.5,soy
389,brs 282,2009,caarapó,67.5,soy
390,brs 246 rr,2009,caarapó,66.9,soy
391,fps netuno rr,2009,caarapó,66.8,soy
392,brasmax força rr,2009,caarapó,63.8,soy
393,na 6411 rr,2009,caarapó,63.6,soy
394,brs 239,2009,caarapó,62.9,soy
395,vmax rr,2009,caarapó,61.9,soy
396,cd 225 rr,2009,caarapó,60.9,soy
397,brs 232,2009,caarapó,60.8,soy
398,cd 202,2009,caarapó,59.9,soy
399,cd 241 rr,2009,caarapó,59.3,soy
400,brs favorita rr,2009,caarapó,59.0,soy
401,cd 219 rr,2009,caarapó,58.8,soy
402,m-soy 7211 rr,2009,caarapó,58.4,soy
403,na 5909 rg,2009,caarapó,66.8,soy
404,na 4990 rr,2009,caarapó,65.3,soy
405,brasmax turbo rr,2009,caarapó,61.7,soy
406,na 6086 rr,2009,caarapó,58.7,soy
407,brs 246 rr,2009,caarapó,58.6,soy
408,fps júpiter rr,2009,caarapó,57.9,soy
409,cd 225 rr,2009,caarapó,57.9,soy
410,brs 232,2009,caarapó,56.3,soy
411,na 6411 rr,2009,caarapó,55.3,soy
412,brs 245 rr,2009,caarapó,55.2,soy
413,cd 233 rr,2009,caarapó,55.1,soy
414,cd 202,2009,caarapó,52.7,soy
415,brs 284,2009,caarapó,51.8,soy
416,brasmax potência rr,2009,caarapó,51.6,soy
417,m6707 rr,2009,caarapó,51.4,soy
418,brs 268,2009,caarapó,51.1,soy
419,fts campo mourão rr,2009,caarapó,51.0,soy
420,brs 239,2009,caarapó,51.0,soy
421,vmax,2009,caarapó,50.7,soy
422,vmax rr,2009,caarapó,50.7,soy
423,cd 221,2009,caarapó,50.3,soy
424,fps netuno rr,2009,caarapó,49.7,soy
425,cd 231 rr,2009,caarapó,49.1,soy
426,tmg 4001 rr,2009,caarapó,48.9,soy
427,brasmax força rr,2009,caarapó,48.7,soy
428,brs 282,2009,caarapó,46.4,soy
429,brs favorita rr,2009,caarapó,42.0,soy
430,m-soy 8001,2009,caarapó,35.9,soy
