date,Amambaí,Anaurilandia,Campo_Grande,Dourados,Ivinhema,Maracaju,Rio_Brilhante,São_Gabriel_do_Oeste,Sidrolândia
2008-10-29,3.8,,11.6,0.0,46.8,3.2,7.4,0.8,7.2
2008-10-30,37.2,,1.0,0.4,16.6,5.4,33.4,2.0,23.8
2008-10-31,0.2,,0.8,0.2,0.0,1.2,0.0,1.6,3.6
2008-11-01,0.4,,4.6,0.0,2.2,0.2,0.4,0.0,1.8
2008-11-02,139.4,,12.8,0.2,41.4,0.2,28.8,0.2,43.6
2008-11-03,0.0,,6.2,0.0,1.2,0.2,1.4,1.6,0.6
2008-11-04,7.6,56.0,1.2,0.0,76.2,0.2,28.0,17.4,9.0
2008-11-05,27.0,18.0,0.0,0.0,6.4,0.0,9.4,13.6,0.0
2008-11-06,52.6,,1.4,0.0,66.4,0.2,22.2,0.0,24.4
2008-11-07,0.0,,7.6,0.0,0.0,0.2,0.2,6.4,0.2
2008-11-08,54.0,,0.0,0.0,1.6,0.2,9.4,0.0,29.0
2008-11-09,34.4,,6.6,0.0,4.4,0.0,29.4,0.0,2.8
2008-11-10,0.2,,1.8,0.0,0.2,0.2,0.2,22.4,0.2
2008-11-11,13.6,,1.4,0.0,0.0,0.0,0.0,13.6,2.6
2008-11-12,0.0,30.0,0.4,0.0,0.0,0.0,21.2,0.2,16.4
2008-11-13,0.0,15.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
2008-11-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-16,2.0,,0.4,0.0,0.0,0.0,0.0,0.0,4.8
2008-11-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2008-11-18,0.0,42.0,0.2,0.0,0.0,0.0,0.0,7.4,0.0
2008-11-19,0.4,,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-21,5.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-22,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-23,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-25,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-26,1.8,,0.6,0.0,0.0,0.0,0.2,0.0,2.2
2008-11-27,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.4
2008-11-28,0.0,18.0,14.0,2.2,0.0,0.0,2.8,33.8,1.0
2008-11-29,0.0,78.0,0.0,3.6,0.0,3.2,0.2,0.0,0.0
2008-11-30,0.0,,1.8,0.0,0.0,0.2,0.0,6.6,0.2
2008-12-01,0.0,,6.8,0.4,0.0,0.0,0.0,0.0,2.0
2008-12-02,2.4,,0.8,4.0,0.6,0.8,0.6,19.2,2.0
2008-12-03,0.0,22.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0
2008-12-04,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-08,0.0,,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2008-12-09,0.0,,0.0,0.0,1.0,0.0,14.8,0.0,0.0
2008-12-10,29.2,,5.6,0.4,5.8,3.4,39.6,0.0,23.8
2008-12-11,0.6,,33.4,0.0,1.0,11.8,0.4,0.0,1.6
2008-12-12,2.2,,1.6,1.0,32.2,21.2,6.4,0.0,3.8
2008-12-13,0.4,,0.2,6.0,8.2,3.6,0.6,0.0,1.0
2008-12-14,7.0,,50.0,0.0,8.2,0.6,0.0,1.2,0.0
2008-12-15,0.0,,22.4,0.0,0.2,0.4,3.0,14.6,10.8
2008-12-16,0.0,30.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
2008-12-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.2
2008-12-21,0.2,,5.4,1.0,2.8,10.4,2.6,1.8,5.2
2008-12-22,0.0,45.0,11.8,4.4,0.0,0.0,25.4,9.4,1.0
